iter	Passed	Remaining
0	2	854
1	5	765
2	7	735
3	9	722
4	12	712
5	15	740
6	17	731
7	19	723
8	22	713
9	24	706
10	26	694
11	28	690
12	31	694
13	33	689
14	35	683
15	38	678
16	40	676
17	42	671
18	45	670
19	47	671
20	50	671
21	52	666
22	54	662
23	57	657
24	59	654
25	61	651
26	64	649
27	66	649
28	69	646
29	71	642
30	74	642
31	76	639
32	79	639
33	81	636
34	83	633
35	85	629
36	88	627
37	90	625
38	92	621
39	95	622
40	97	618
41	100	616
42	102	613
43	105	611
44	107	609
45	110	609
46	112	607
47	115	604
48	117	601
49	119	599
50	122	595
51	124	592
52	127	592
53	129	589
54	131	586
55	134	584
56	136	582
57	138	579
58	141	578
59	144	577
60	146	575
61	149	572
62	151	570
63	154	568
64	156	566
65	159	566
66	162	564
67	164	561
68	167	560
69	169	557
70	172	554
71	174	552
72	177	550
73	179	548
74	182	546
75	184	543
76	186	541
77	189	538
78	191	536
79	194	533
80	196	531
81	198	528
82	201	526
83	203	523
84	205	520
85	208	518
86	210	515
87	213	513
88	215	510
89	217	507
90	219	504
91	222	503
92	225	501
93	227	498
94	229	495
95	232	493
96	234	490
97	236	487
98	239	486
99	242	484
100	244	481
101	246	478
102	248	475
103	251	473
104	255	473
105	257	471
106	259	468
107	262	466
108	264	464
109	267	461
110	269	458
111	271	455
112	273	453
113	276	450
114	278	448
115	280	445
116	283	442
117	285	440
118	288	438
119	290	436
120	293	433
121	295	430
122	297	428
123	300	426
124	303	424
125	305	421
126	307	419
127	310	416
128	312	413
129	314	411
130	316	408
131	319	406
132	322	404
133	324	401
134	326	399
135	328	396
136	331	393
137	333	391
138	335	389
139	338	386
140	340	383
141	342	381
142	344	378
143	347	376
144	349	373
145	352	371
146	355	369
147	357	366
148	359	364
149	361	361
150	363	359
151	366	357
152	369	354
153	371	352
154	373	349
155	376	347
156	378	345
157	381	343
158	384	341
159	387	338
160	389	336
161	393	334
162	395	332
163	397	329
164	400	327
165	403	325
166	405	323
167	407	320
168	410	318
169	412	315
170	415	313
171	417	310
172	419	308
173	422	305
174	424	303
175	426	300
176	429	298
177	432	296
178	434	293
179	436	291
180	439	288
181	441	286
182	443	283
183	445	281
184	448	278
185	451	276
186	453	274
187	456	271
188	458	269
189	460	266
190	464	264
191	466	262
192	468	259
193	470	257
194	473	254
195	475	252
196	478	250
197	481	247
198	483	245
199	485	242
200	487	240
201	490	238
202	493	235
203	495	233
204	498	230
205	500	228
206	502	225
207	504	223
208	507	220
209	510	218
210	513	216
211	515	214
212	518	211
213	521	209
214	524	207
215	527	205
216	530	202
217	532	200
218	534	197
219	536	195
220	539	192
221	542	190
222	544	188
223	547	185
224	550	183
225	552	180
226	554	178
227	558	176
228	561	173
229	563	171
230	566	169
231	568	166
232	571	164
233	574	161
234	576	159
235	578	157
236	581	154
237	583	152
238	586	149
239	590	147
240	593	145
241	595	142
242	598	140
243	600	137
244	602	135
245	605	132
246	608	130
247	610	127
248	612	125
249	615	123
250	617	120
251	621	118
252	624	115
253	627	113
254	630	111
255	633	108
256	635	106
257	638	104
258	641	101
259	643	99
260	646	96
261	648	94
262	652	91
263	655	89
264	658	86
265	661	84
266	664	82
267	668	79
268	671	77
269	673	74
270	676	72
271	678	69
272	681	67
273	684	64
274	687	62
275	690	60
276	693	57
277	695	55
278	698	52
279	701	50
280	704	47
281	708	45
282	711	42
283	713	40
284	717	37
285	719	35
286	722	32
287	724	30
288	727	27
289	730	25
290	733	22
291	736	20
292	738	17
293	741	15
294	743	12
295	746	10
296	749	7
297	751	5
298	755	2
299	757	0
